position_index,position_m,position_nm,position_over_box_width,quantum_number_n,wavefunction_m_neg_half,probability_density_m_inv,box_width_times_density
20,9.9999999999999994e-12,0.01,0.0099999999999999985,1,1404.7318504712696,1973271.5717284372,0.0019732715717284371
20,9.9999999999999994e-12,0.01,0.0099999999999999985,2,2808.077400201455,7885298.6855221624,0.0078852986855221623
20,9.9999999999999994e-12,0.01,0.0099999999999999985,3,4208.6517165609348,17712749.271311302,0.017712749271311303
20,9.9999999999999994e-12,0.01,0.0099999999999999985,4,5605.07260179285,31416838.87136887,0.031416838871368875
21,1.0499999999999999e-11,0.010499999999999999,0.010499999999999999,1,1474.9435726693252,2175458.5425585532,0.0021754585425585531
21,1.0499999999999999e-11,0.010499999999999999,0.010499999999999999,2,2948.2823695320349,8692368.9304934293,0.0086923689304934295
21,1.0499999999999999e-11,0.010499999999999999,0.010499999999999999,3,4418.4133608180646,19522376.627055585,0.019522376627055586
21,1.0499999999999999e-11,0.010499999999999999,0.010499999999999999,4,5883.7370069307235,34618361.166726112,0.034618361166726112
22,1.0999999999999999e-11,0.010999999999999999,0.010999999999999998,1,1545.1516555907349,2387493.6387747889,0.0023874936387747892
22,1.0999999999999999e-11,0.010999999999999999,0.010999999999999998,2,3088.4582405058959,9538574.3033487741,0.0095385743033487742
