label,n,l,m,sample_index,radius_over_a,radius_over_n_squared_a,scaled_radial_wavefunction,scaled_radial_probability,cumulative_probability,containment_target,extent_over_a
1s (m=+0),1,0,0,942,4.7301743027722756,4.7301743027722756,0.017649865390855654,0.0069700691036798665,0.99570029624590173,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,943,4.7351957192295702,4.7351957192295702,0.017561460211682312,0.0069150785358359926,0.99573515780033628,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,944,4.7402171356868656,4.7402171356868656,0.017473497839042125,0.0068605063878010132,0.99576974427475851,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,945,4.7452385521441611,4.7452385521441611,0.017385976054992366,0.0068063496344274556,0.99580405776263325,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,946,4.7502599686014566,4.7502599686014566,0.017298892652699585,0.0067526052707834391,0.99583810034228559,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,947,4.7552813850587521,4.7552813850587521,0.017212245436383989,0.0066992703120353726,0.99587187407700217,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,948,4.7603028015160476,4.7603028015160476,0.017126032221264076,0.00664634179333113,0.99590538101513149,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,949,4.765324217973343,4.765324217973343,0.017040250833501542,0.0065938167696836898,0.99593862319018422,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,950,4.7703456344306385,4.7703456344306385,0.016954899110146464,0.0065416923158552742,0.99597160262093276,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,951,4.775367050887934,4.775367050887934,0.016869974899082776,0.0064899655262419609,0.99600432131150984,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,952,4.7803884673452295,4.7803884673452295,0.016785476058973993,0.006438633514758773,0.99603678125150696,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,953,4.785409883802525,4.785409883802525,0.016701400459209221,0.0063876934147252557,0.99606898441607217,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,954,4.7904313002598204,4.7904313002598204,0.01661774597984943,0.0063371423787515358,0.99610093276600709,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,955,4.7954527167171159,4.7954527167171159,0.016534510511574015,0.0062869775786248581,0.99613262824786353,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,956,4.8004741331744105,4.8004741331744105,0.016451691955627602,0.0062371962051966231,0.99616407279403962,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,957,4.805495549631706,4.805495549631706,0.016369288223767094,0.0061877954682698537,0.99619526832287508,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,958,4.8105169660890015,4.8105169660890015,0.016287297238209084,0.0061387725964872387,0.99622621673874623,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,959,4.815538382546297,4.815538382546297,0.016205716931577418,0.0060901248372195755,0.99625691993216037,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,960,4.8205597990035924,4.8205597990035924,0.016124545246851082,0.006041849456454731,0.99628737977984927,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,961,4.8255812154608879,4.8255812154608879,0.016043780137312325,0.0059939437386870862,0.99631759814486265,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,962,4.8306026319181834,4.8306026319181834,0.015963419566495059,0.0059464049868074584,0.99634757687666065,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,963,4.8356240483754789,4.8356240483754789,0.015883461508133512,0.0058992305219935162,0.9963773178112062,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,964,4.8406454648327744,4.8406454648327744,0.015803903946111132,0.0058524176836006678,0.99640682277105619,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,965,4.8456668812900698,4.8456668812900698,0.015724744874409748,0.0058059638290534387,0.99643609356545271,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,966,4.8506882977473653,4.8506882977473653,0.015645982297059002,0.0057598663337373379,0.99646513199041353,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,967,4.8557097142046608,4.8557097142046608,0.015567614228086005,0.0057141225908911974,0.99649393982882206,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,968,4.8607311306619554,4.8607311306619554,0.015489638691465286,0.0056687300115000078,0.99652251885051635,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,969,4.8657525471192509,4.8657525471192509,0.01541205372106891,0.0056236860241882045,0.99655087081237848,0.99950000000000006,6.0256997487544908
1s (m=+0),1,0,0,970,4.8707739635765464,4.8707739635765464,0.015334857360616981,0.0055789880751135092,0.99657899745842249,0.99950000000000006,6.0256997487544908
